Name,RA,DEC,zlens,zsource,R_Ein(arcsec),"maglens,i","magsource,i",Lens type,Discovery,Grade,References,unknown,Paper
141715+515057,214.314162,51.849379,-99,-99,0.75,-99,-99,20.54,-99,GG,VY,C,SuGOHI6
141720+515724,214.335434,51.956735,0.99,-99,-99,-99,-99,20.93,22.43,GG,Y,C,SuGOHI1
141728+015935,214.367072,1.993134,0.401,-99,-99,-99,-99,18.2,21.05,GG,YV,B,SuGOHI1 LinKS SuGOHI5
141731+011713,214.383173,1.287121,-99,-99,0.73,-99,-99,20.61,-99,GG,V,C,SuGOHI6
141742+002700,214.428677,0.450165,-99,-99,0.71,-99,-99,19.83,-99,GG,VY,C,SuGOHI6
141743-000713,214.432497,-0.120418,-99,-99,0.97,-99,-99,21.19,-99,GG,VY,C,SuGOHI6
141744+002150,214.43543,0.36413,-99,-99,0.93,-99,-99,20.82,-99,GG,V,C,SuGOHI6
141745+002537,214.43966,0.426958,0.303,-99,-99,-99,-99,17.82,21.67,GG,Y,C,SuGOHI1
141751+011918,214.466502,1.321694,-99,-99,0.42,-99,-99,18.55,-99,GG,VY,C,SuGOHI6
141753+011501,214.4727,1.2505,0.384,-99,0.44,0.53,-99,19.92,19.77,CG,V,C,SuGOHI5
141805+004435,214.5231,0.7431,-99,-99,0.92,1.98,-99,20.25,24.7,CG,V,B,SuGOHI5 SuGOHI6
141807+003925,214.530009,0.657111,-99,-99,0.47,-99,-99,19.23,-99,GG,V,C,SuGOHI6
141812-012404,214.553388,-1.401227,-99,-99,-99,-99,1.04,-99,-99,GQ,C,C,SuGOHI4
141815+015832,214.565561,1.97564,0.556,2.139,-99,-99,1.4,19.02,23.15,GG,YE,A,SuGOHI1 SuGOHI3
141831-000052,214.630858,-0.014624,0.263,-99,-99,-99,-99,17.51,22.03,GG,Y,B,SuGOHI1 LinKS
141836-003724,214.6536,-0.6236,-99,-99,0.59,-99,-99,20.33,21.71,CG,V,C,SuGOHI5 SuGOHI6
141837+012342,214.655493,1.395187,0.54,-99,-99,-99,-99,19.26,21.7,GG,Y,C,SuGOHI1
141838-002713,214.660175,-0.453647,0.572,-99,-99,-99,-99,19.58,22.76,GG,Y,C,SuGOHI1
141852-000357,214.7198,-0.0659,-99,-99,0.55,1.01,-99,20.35,23.53,GG,V,B,SuGOHI5
141905-010739,214.77457,-1.127576,-99,-99,0.75,-99,-99,20.93,-99,GG,VY,C,SuGOHI6
141908+002049,214.7851,0.3471,0.339,-99,0.36,1.15,-99,18,21.67,CG,V,B,SuGOHI5 SuGOHI6
141909-002352,214.791092,-0.39786,0.473,-99,-99,-99,-99,-99,-99,GG,E,C,SuGOHI1
141933+010223,214.888795,1.039938,-99,-99,1.12,-99,-99,21,-99,GG,VY,B,SuGOHI6
142009-001434,215.037744,-0.242876,0.615,-99,-99,-99,-99,18.7,22.24,GG,YV,C,SuGOHI1 SuGOHI6
142013+005925,215.0559,0.9904,-99,-99,0.96,1.07,-99,21.51,22.25,GG,V,B,SuGOHI5
142014-002225,215.06233,-0.3738,-99,-99,0.81,-99,-99,19.53,-99,GG,VY,C,SuGOHI6
142016+005719,215.0693,0.9552,0.507,-99,0.49,1.56,-99,18.66,24.08,CG,V,B,SuGOHI5
142017+005831,215.0741,0.9755,0.33,-99,0.34,0.84,-99,18.07,20.93,CG,VY,B,SuGOHI5 SuGOHI6
142017+011848,215.071841,1.313345,-99,-99,-99,-99,0.6,-99,-99,GQ,C,C,SuGOHI4
142018+005832,215.075056,0.975794,-99,-99,0.78,-99,-99,20.26,-99,GG,V,B,SuGOHI6
142018+432703,215.07572,43.450859,0.56,-99,-99,-99,-99,19.88,22.97,GG,Y,C,SuGOHI2
142031+002021,215.131126,0.339204,-99,-99,0.46,-99,-99,18.93,-99,GG,V,B,SuGOHI6
142036-000733,215.152435,-0.125886,-99,-99,0.32,-99,-99,18.21,-99,GG,VY,C,SuGOHI6
142048+000733,215.2019,0.1258,0.545,-99,0.58,1.09,-99,20.67,22.18,CG,V,B,SuGOHI5
142053+005620,215.223429,0.939065,0.616,-99,-99,-99,-99,19.7,22.2,GG,Y,B,SuGOHI1
142056+004033,215.234323,0.675925,-99,-99,0.74,-99,-99,20.39,-99,GG,VY,C,SuGOHI6
142058+001037,215.243529,0.177199,0.526,-99,-99,-99,-99,18.47,21.86,GG,Y,C,SuGOHI1
142103+002219,215.2653,0.3719,-99,-99,0.67,1,-99,20.38,22.48,CG,VY,B,SuGOHI5 DECaLS SuGOHI6
142103+002300,215.2662,0.3834,-99,-99,0.64,1.34,-99,20.28,24.15,CG,V,C,SuGOHI5
142111+000947,215.2966,0.163,0.545,-99,0.55,1.79,-99,19.13,23.4,CG,V,C,SuGOHI5
142127+001205,215.3633,0.2014,-99,-99,0.55,1.36,-99,20.15,22.05,GG,V,B,SuGOHI5
142136+522121,215.400126,52.356028,-99,-99,1.16,-99,-99,21.88,-99,GG,V,C,SuGOHI6
142138+004651,215.4112,0.7808,0.145,-99,0.12,0.6,-99,16,19.38,CG,V,C,SuGOHI5
142141+003848,215.42366,0.646805,-99,-99,1.08,-99,-99,22,-99,GG,V,C,SuGOHI6
142146+425245,215.44574,42.87926,0.745,-99,-99,-99,-99,19.19,22.33,GG,Y,C,SuGOHI2
142147-005800,215.44899,-0.966758,-99,-99,0.76,-99,-99,20.45,-99,GG,V,C,SuGOHI6
142149-002403,215.4577,-0.4008,-99,-99,0.62,1.22,-99,20.05,24,CG,V,B,SuGOHI5 SuGOHI6
142154+004841,215.477033,0.811555,-99,-99,0.92,-99,-99,21.05,-99,GG,V,C,SuGOHI6
142200-014410,215.501342,-1.736309,-99,-99,0.57,-99,-99,19.52,-99,GG,VY,C,SuGOHI6
142218+005457,215.578657,0.915926,-99,-99,0.67,-99,-99,20.36,-99,GG,VY,C,SuGOHI6
142232+000134,215.634666,0.026281,-99,-99,0.23,-99,-99,17.48,-99,GG,VY,B,SuGOHI6 LinKS
142234-000225,215.642855,-0.040383,-99,-99,1.05,-99,-99,21.89,-99,GG,VY,B,SuGOHI6
142241+424608,215.67163,42.768906,0.605,-99,-99,-99,-99,18.64,21.95,GG,Y,B,SuGOHI2
142242-000555,215.676214,-0.098737,-99,-99,0.31,-99,-99,18.01,-99,GG,VY,C,SuGOHI6
142249-003311,215.706939,-0.553219,0.453,-99,-99,-99,1.7,18.13,21.64,GQ,YC,C,SuGOHI1 LinKS SuGOHI4
142304+012318,215.768399,1.38856,-99,-99,-99,-99,0.49,-99,-99,GQ,C,C,SuGOHI4
142310+013132,215.7946,1.5257,-99,-99,1.08,1.98,-99,21.58,26.78,CG,V,C,SuGOHI5
142318+001026,215.828,0.1739,-99,-99,1.1,2.12,-99,22.06,25.97,CG,V,C,SuGOHI5
142336-004034,215.903985,-0.676311,-99,-99,0.88,-99,-99,20.98,-99,GG,VY,B,SuGOHI6
142341+004211,215.922441,0.703328,0.722,-99,-99,-99,-99,19.78,22.42,GG,YC,C,SuGOHI1
142353+013446,215.9711,1.579691,0.519,-99,-99,-99,-99,18.69,22.22,GG,Y,B,SuGOHI2
142353-002603,215.9745,-0.4344,0.636,-99,0.59,1.89,-99,19.94,22.92,CG,V,B,SuGOHI5
142355+012327,215.979444,1.391105,-99,-99,0.23,-99,-99,17.57,-99,GG,V,C,SuGOHI6
142403+000835,216.0142,0.1433,0.54,-99,0.54,2.25,-99,19.34,27,CG,V,C,SuGOHI5
142410-005317,216.045149,-0.888092,-99,-99,0.88,-99,-99,20.88,-99,GG,VY,C,SuGOHI6
142449+004202,216.2075,0.7006,0.477,-99,0.47,1.37,-99,19.17,25.45,CG,V,B,SuGOHI5
142449+014034,216.206142,1.676345,0.382,-99,-99,-99,-99,17.83,21.27,GG,Y,C,SuGOHI1
142449-005321,216.204201,-0.889342,0.795,1.302,-99,-99,2.14,19.22,-99,CG,SV,A,Tanaka16 SuGOHI3 SuGOHI5
142458+010913,216.24294,1.153624,-99,-99,0.27,-99,-99,17.79,-99,GG,V,C,SuGOHI6
142502+013057,216.261236,1.516037,-99,-99,0.56,-99,-99,19.56,-99,GG,VY,C,SuGOHI6
142518-002525,216.327797,-0.423715,-99,-99,0.61,-99,-99,20.24,-99,GG,V,C,SuGOHI6
142528-011504,216.366954,-1.251233,-99,-99,0.52,-99,-99,19.41,-99,GG,V,C,SuGOHI6
142534-015312,216.392666,-1.886732,-99,-99,0.56,-99,-99,19.89,-99,GG,V,C,SuGOHI6
142542+002015,216.427459,0.337596,-99,-99,0.85,-99,-99,20.23,-99,GG,V,C,SuGOHI6
142551+011641,216.463873,1.278141,-99,-99,1.18,-99,-99,21.34,-99,GG,VY,C,SuGOHI6
142556-002919,216.487187,-0.48863,0.634,-99,-99,-99,-99,19.77,23.05,GG,Y,C,SuGOHI1
142557+005618,216.490261,0.93849,-99,-99,0.52,-99,-99,19.36,-99,GG,V,C,SuGOHI6
142557+005619,216.490586,0.938867,-99,-99,0.84,-99,-99,20.69,-99,GG,V,C,SuGOHI6
142602+010842,216.512217,1.145002,-99,-99,0.86,-99,-99,21.08,-99,GG,V,B,SuGOHI6
142610+000706,216.545466,0.118596,-99,-99,0.94,-99,-99,21.33,-99,GG,VY,C,SuGOHI6
142623+004735,216.5988,0.7933,0.509,-99,0.52,-99,-99,19.74,-99,CG,V,C,SuGOHI5
142640+000958,216.669337,0.166276,-99,-99,0.59,-99,-99,19.05,-99,GG,V,B,SuGOHI6
142706+004314,216.7775,0.7207,0.295,-99,0.28,-99,-99,17.85,-99,CG,V,B,SuGOHI5 LinKS
142711-004627,216.7978,-0.7744,-99,-99,0.88,2.15,-99,22,23.82,CG,V,C,SuGOHI5
142712-002742,216.8003,-0.4617,0.306,-99,0.31,0.68,-99,17.49,22.77,CG,V,C,SuGOHI5 LinKS SuGOHI6
142716+440730,216.817,44.1251,0.486,-99,0.49,0.7,-99,18.74,24.97,CG,V,C,SuGOHI5
142716-002933,216.818381,-0.492714,-99,-99,0.24,-99,-99,17.74,-99,GG,V,C,SuGOHI6
142720+001916,216.835623,0.321141,0.551,1.266,-99,-99,1.4,19.17,22.56,GG,Y,A,SuGOHI1 SuGOHI3
142720+002734,216.83666,0.459476,-99,-99,0.73,-99,-99,19.87,-99,GG,V,C,SuGOHI6
142729-004245,216.87311,-0.712578,-99,-99,0.76,-99,-99,20.78,-99,GG,V,C,SuGOHI6
142747+432607,216.94656,43.435478,0.587,-99,-99,-99,-99,19.42,21.7,GG,Y,C,SuGOHI2
142748+000958,216.951515,0.166321,0.589,-99,-99,-99,-99,19.17,22.25,GG,Y,B,SuGOHI1
142748+002743,216.952886,0.462175,0.728,-99,-99,-99,-99,19.19,22.69,GG,Y,C,SuGOHI1
142754+003944,216.978665,0.662399,-99,-99,0.82,-99,-99,21.1,-99,GG,V,B,SuGOHI6
142800-000421,217.003507,-0.072529,-99,-99,0.75,-99,-99,20.59,-99,GG,VY,C,SuGOHI6
142811-005021,217.048583,-0.83922,-99,-99,0.65,-99,-99,19.49,-99,GG,VY,B,SuGOHI6
142815+001338,217.0642,0.2274,-99,-99,0.54,-99,-99,22.88,-99,GG,V,C,SuGOHI5
142818+004331,217.075,0.7252,0.335,-99,0.32,1.87,-99,18,25.37,CG,V,B,SuGOHI5
142857-003721,217.241548,-0.622705,-99,-99,0.27,-99,-99,18,-99,GG,VY,C,SuGOHI6
142915+004946,217.313033,0.82969,0.537,-99,-99,-99,-99,19.6,22.16,GG,Y,C,SuGOHI1
143000-002754,217.503232,-0.465133,-99,-99,1.01,-99,-99,22.98,-99,GG,VY,C,SuGOHI6
143001-015045,217.507562,-1.845922,0.266,-99,-99,-99,-99,17.45,20.41,GG,Y,C,SuGOHI1 LinKS
143013+005450,217.555113,0.913995,-99,-99,0.83,-99,-99,20.69,-99,GG,VY,C,SuGOHI6
143104-003712,217.767065,-0.62,-99,-99,0.66,-99,-99,20.2,-99,GG,VY,C,SuGOHI6
143109+421518,217.7912,42.255,-99,-99,0.58,2.45,-99,21.09,24.77,CG,V,C,SuGOHI5
143113-000613,217.8078,-0.1037,-99,-99,0.7,1.51,-99,20.58,22.3,CG,VY,B,SuGOHI5 SuGOHI6
143121-005344,217.8382,-0.8956,0.403,-99,0.43,-99,-99,18.53,-99,CG,V,C,SuGOHI5
143150+013019,217.961934,1.505515,-99,-99,0.72,-99,-99,19.89,-99,GG,VY,B,SuGOHI6
143153-013352,217.972551,-1.564484,-99,-99,0.7,-99,-99,20.32,-99,GG,V,B,SuGOHI6
143153-013353,217.97255,-1.564813,0.671,-99,-99,-99,2.78,19.35,21.64,GQ,YC,C,SuGOHI1 SuGOHI4
143243-004553,218.183139,-0.764837,-99,-99,0.45,-99,-99,19.17,-99,GG,VY,B,SuGOHI6
143243-012553,218.182404,-1.431647,-99,-99,0.74,-99,-99,20.19,-99,GG,V,C,SuGOHI6
143253-002716,218.22435,-0.454667,-99,-99,1.1,-99,-99,21.75,-99,GG,VY,C,SuGOHI6
143329+424924,218.37471,42.823409,0.682,-99,-99,-99,-99,19.5,22.19,GG,Y,C,SuGOHI2
143339+014224,218.415522,1.706887,-99,-99,0.32,-99,-99,18.22,-99,GG,V,C,SuGOHI6
143408-001311,218.537196,-0.219914,-99,-99,0.88,-99,-99,20.18,-99,GG,VY,B,SuGOHI6
143417+000515,218.574583,0.087725,-99,-99,0.39,-99,-99,18.78,-99,GG,V,C,SuGOHI6
143438+431542,218.6586,43.2617,0.385,-99,0.38,-99,-99,17.72,-99,CG,V,B,SuGOHI5
143444-000948,218.686352,-0.163493,-99,-99,0.54,-99,-99,18.92,-99,GG,V,C,SuGOHI6 LinKS
143454-005658,218.726664,-0.949599,0.728,-99,-99,-99,-99,18.98,23.34,CG,YV,A,SuGOHI1 SuGOHI5
143508+014138,218.785862,1.694166,0.487,-99,-99,-99,-99,19.41,23.38,GG,Y,C,SuGOHI1
143512+430856,218.80285,43.148947,0.511,-99,-99,-99,-99,18.71,23,GG,Y,C,SuGOHI2
143518-012526,218.82867,-1.423943,-99,-99,0.98,-99,-99,21.28,-99,GG,V,B,SuGOHI6
143519-010636,218.8295,-1.11,-99,-99,0.78,-99,-99,20.39,24.03,CG,VY,B,SuGOHI5 SuGOHI6
143529+001812,218.871364,0.303465,-99,-99,0.6,-99,-99,19.66,-99,GG,VY,B,SuGOHI6
143611+432921,219.0462,43.4892,0.386,-99,0.39,-99,-99,17.86,18.32,CG,V,A,SuGOHI5
143616+000602,219.0677,0.1006,0.337,-99,0.32,0.61,-99,18.36,20.29,CG,V,C,SuGOHI5
143632+010731,219.134071,1.125421,0.413,-99,-99,-99,-99,17.83,21.53,GG,Y,C,SuGOHI1
143639-004039,219.162779,-0.677678,-99,-99,0.78,-99,-99,20.97,-99,GG,V,C,SuGOHI6
143640+004213,219.1708,0.7036,0.382,-99,0.38,0.69,-99,18.65,19.3,CG,V,C,SuGOHI5
143647-013342,219.198621,-1.561721,-99,-99,0.76,-99,-99,20.65,-99,GG,VY,C,SuGOHI6
143719-004127,219.330249,-0.690937,-99,-99,0.76,-99,-99,19.69,-99,GG,V,C,SuGOHI6
143734-000255,219.3926,-0.0487,0.627,-99,0.63,1.98,-99,19.54,25.61,CG,V,B,SuGOHI5 SuGOHI6
143741-003821,219.424707,-0.639429,-99,-99,0.91,-99,-99,21.46,-99,GG,V,C,SuGOHI6
143744+420535,219.43546,42.093134,0.429,-99,-99,-99,-99,18.59,23.17,GG,Y,C,SuGOHI2
143750+001216,219.458599,0.204629,0.301,-99,-99,-99,-99,16.86,22.93,CG,YV,C,SuGOHI1 SuGOHI5
143752-002631,219.470606,-0.442132,0.546,-99,-99,-99,-99,19.02,22.66,GG,Y,C,SuGOHI1
143810+000608,219.543147,0.102246,-99,-99,0.81,-99,-99,21.12,-99,GG,V,C,SuGOHI6
143832-002326,219.6353,-0.3907,-99,-99,0.81,1.22,-99,20.7,22.49,GG,V,C,SuGOHI5 SuGOHI6
143840+013415,219.668799,1.570951,0.496,-99,-99,-99,-99,20.02,23.21,GG,Y,C,SuGOHI1
143901+005117,219.755801,0.854973,-99,-99,0.75,-99,-99,20.43,-99,GG,VY,B,SuGOHI6
143917-003917,219.821925,-0.654961,-99,-99,0.71,-99,-99,20.34,-99,GG,V,B,SuGOHI6
143932+005358,219.8869,0.8994,0.313,-99,0.31,0.49,-99,17.09,23.68,CG,V,C,SuGOHI5 LinKS
143955-002733,219.9815,-0.4591,0.542,-99,0.55,-99,-99,19.3,-99,CG,V,C,SuGOHI5 SuGOHI6
143958+003651,219.995065,0.614216,0.524,-99,-99,-99,-99,18.86,23.01,GG,Y,C,SuGOHI1
144031-013725,220.1316,-1.6236,0.322,-99,0.32,-99,-99,19.71,-99,CG,V,C,SuGOHI5
144100+014001,220.251242,1.667111,-99,-99,0.72,-99,-99,20.42,-99,GG,V,C,SuGOHI6
144101+013344,220.256162,1.562446,-99,-99,0.53,-99,-99,19.92,-99,GG,VY,B,SuGOHI6
144110-002754,220.294292,-0.465112,-99,-99,0.35,-99,-99,18.27,-99,GG,VY,C,SuGOHI6
144126-001859,220.3618,-0.3166,0.287,-99,0.35,0.43,-99,17.88,18.88,CG,V,B,SuGOHI5
144132-005358,220.386165,-0.8995,-99,-99,0.49,-99,-99,18.57,-99,GG,V,A,SuGOHI6
144132-005359,220.3867,-0.8999,-99,-99,0.57,1.93,-99,18.6,21.83,CG,V,A,SuGOHI5
144158+010740,220.4951,1.1278,0.373,-99,0.38,1.54,-99,17.99,27.38,CG,V,C,SuGOHI5
144201-010309,220.507886,-1.052553,-99,-99,1.12,-99,-99,20.53,-99,GG,V,C,SuGOHI6
144223+002834,220.598713,0.476125,0.314,-99,-99,-99,-99,17.41,24.87,GG,Y,C,SuGOHI1
144230-002353,220.629062,-0.398107,-99,-99,0.4,-99,1.17,18.55,-99,GQ,VYC,B,SuGOHI6 LinKS SuGOHI4
144301+011159,220.754564,1.199912,-99,-99,0.78,-99,-99,19.96,-99,GG,VY,C,SuGOHI6
144307-004056,220.779854,-0.682249,0.5,1.071,-99,-99,1.1,19.14,20.43,GQ,YCE,A,SuGOHI1 SuGOHI3 SuGOHI4
144309+010211,220.7887,1.0366,0.529,-99,0.54,2.62,-99,18.85,25.47,CG,V,B,SuGOHI5
144320-012537,220.835982,-1.426985,-99,-99,1.16,-99,-99,20.61,-99,GG,VY,A,SuGOHI6
144320-012537,220.836303,-1.426954,1,-99,-99,-99,1.02,-99,-99,GQ,C,B,SuGOHI4
144350+012040,220.961731,1.344467,0.526,-99,-99,-99,-99,-99,-99,GG,E,C,SuGOHI1
144354-000731,220.9791,-0.1253,-99,-99,0.89,-99,-99,20.73,22.32,GG,V,B,SuGOHI5
144403+003759,221.012843,0.633168,-99,-99,0.88,-99,-99,21.32,-99,GG,VY,C,SuGOHI6
144426+024706,221.111,2.785,0.491,-99,0.47,1.21,-99,18.83,24.85,CG,V,C,SuGOHI5
144428-005142,221.119761,-0.861791,0.575,-99,-99,-99,-99,18.84,21.99,CG,YV,B,SuGOHI1 SuGOHI5
144431+001004,221.1294,0.168,-99,-99,0.7,0.96,-99,19.73,-99,CG,V,C,SuGOHI5
144443+004538,221.180964,0.760737,-99,-99,-99,-99,0.6,-99,-99,GQ,C,C,SuGOHI4
144454-000209,221.228812,-0.035953,0.692,-99,-99,-99,-99,19.72,22.85,GG,Y,C,SuGOHI1
144456+010407,221.23743,1.068733,-99,-99,0.98,-99,-99,22.9,-99,GG,V,C,SuGOHI6
144459-001826,221.2491,-0.3073,-99,-99,0.73,1.81,-99,20.98,25.62,CG,V,C,SuGOHI5
144519+004452,221.332908,0.747915,-99,-99,0.82,-99,-99,19.87,-99,GG,VY,C,SuGOHI6
144558+002421,221.491962,0.406041,-99,-99,0.74,-99,-99,20.23,-99,GG,V,C,SuGOHI6
144603-004016,221.514551,-0.671277,-99,-99,0.23,-99,-99,17.07,-99,GG,VY,B,SuGOHI6 LinKS
144640-000350,221.667158,-0.063953,-99,-99,0.89,-99,-99,21.46,-99,GG,VY,C,SuGOHI6
144643-004534,221.680157,-0.759486,-99,-99,0.73,-99,-99,20.07,-99,GG,V,C,SuGOHI6
144731+013419,221.8827,1.572,-99,-99,0.36,1.1,-99,18.48,19.82,GG,V,C,SuGOHI5
144734-000949,221.891814,-0.163766,-99,-99,0.55,-99,-99,19.95,-99,GG,V,C,SuGOHI6
144742-014618,221.928988,-1.771789,-99,-99,0.97,-99,-99,21.74,-99,GG,VY,C,SuGOHI6
144759-004537,221.9975,-0.7603,0.693,-99,0.71,2.52,-99,19.68,26.7,CG,V,C,SuGOHI5
144811-012257,222.0489,-1.3827,0.217,-99,0.22,0.71,-99,17.68,19.1,CG,V,C,SuGOHI5
144815+023912,222.0657,2.6534,0.515,-99,0.47,-99,-99,19.49,21.47,CG,V,C,SuGOHI5
144817-005731,222.074231,-0.958791,-99,-99,1.09,-99,-99,22.43,-99,GG,VY,C,SuGOHI6
144922+004623,222.343121,0.773271,-99,-99,0.62,-99,-99,19.59,-99,GG,V,C,SuGOHI6
144925-012352,222.3583,-1.3978,-99,-99,0.38,1.4,-99,20.14,25.85,CG,V,C,SuGOHI5
144931-012350,222.3816,-1.3973,-99,-99,0.46,-99,-99,19.97,-99,GG,V,C,SuGOHI5
144937-000243,222.407,-0.0455,0.529,-99,0.57,1.53,-99,20.42,-99,CG,V,B,SuGOHI5
144948+002901,222.4519,0.4837,0.586,-99,0.59,1.45,-99,19.01,19.84,CG,V,C,SuGOHI5
144950+005536,222.4612,0.9268,0.421,-99,0.45,0.8,-99,19,20.23,CG,V,C,SuGOHI5
145020+003535,222.583482,0.59309,-99,-99,1.15,-99,-99,22.75,-99,GG,V,B,SuGOHI6
145037-004543,222.657249,-0.762148,-99,-99,0.89,-99,-99,21.03,-99,GG,VY,C,SuGOHI6
145039+005542,222.6663,0.9284,0.421,-99,0.44,1.52,-99,18.53,24.87,CG,V,A,SuGOHI5
145046+011107,222.691845,1.185451,0.545,-99,-99,-99,-99,19.38,24.01,GG,Y,C,SuGOHI1
145053+012020,222.72171,1.338948,0.605,-99,-99,-99,-99,-99,-99,GG,E,C,SuGOHI1
145103-000526,222.764611,-0.090685,0.505,-99,-99,-99,-99,19.11,23.55,GG,Y,C,SuGOHI1
145106+011133,222.7766,1.1927,0.391,-99,0.37,-99,-99,18.05,-99,CG,V,B,SuGOHI5 LinKS
145154+001620,222.978958,0.272342,-99,-99,0.42,-99,-99,19.08,-99,GG,V,C,SuGOHI6
145157+005240,222.991622,0.877844,0.527,-99,-99,-99,-99,19.34,23.02,GG,Y,C,SuGOHI1
145204+012624,223.016991,1.440257,-99,-99,0.72,-99,-99,20.68,-99,GG,V,C,SuGOHI6
145217-014714,223.072594,-1.787304,-99,-99,0.47,-99,-99,18.83,-99,GG,VY,B,SuGOHI6
145219+431439,223.08036,43.24438,0.509,-99,-99,-99,-99,19.28,22.61,GG,Y,C,SuGOHI2
145236-002142,223.152765,-0.361678,0.733,-99,-99,-99,-99,18.93,21.91,GG,Y,B,SuGOHI1
145242+425731,223.17886,42.958862,0.718,-99,-99,-99,-99,19.54,22.75,GG,Y,A,SuGOHI2
145320-001825,223.3338,-0.3071,-99,-99,0.75,-99,-99,20.09,23.49,GG,VY,C,SuGOHI5 SuGOHI6
145325-003331,223.357429,-0.558861,-99,-99,0.38,-99,-99,19.36,-99,GG,VY,C,SuGOHI6
145336-010527,223.400748,-1.091022,-99,-99,0.26,-99,-99,18.15,-99,GG,V,C,SuGOHI6
145354-012800,223.477926,-1.466753,-99,-99,0.32,-99,-99,18.53,-99,GG,VY,C,SuGOHI6
145402+013809,223.51216,1.636013,0.537,-99,-99,-99,-99,18.92,23.29,GG,Y,C,SuGOHI2
145406+015844,223.5267,1.979,0.368,-99,0.38,-99,-99,18.09,-99,CG,V,C,SuGOHI5
145408+002314,223.534036,0.387425,-99,-99,0.65,-99,-99,19.57,-99,GG,V,C,SuGOHI6
145444+010027,223.685377,1.007683,-99,-99,0.26,-99,-99,18.08,-99,GG,VY,C,SuGOHI6
145447+001614,223.698834,0.270831,0.581,-99,-99,-99,-99,18.91,22.26,GG,Y,C,SuGOHI1
145453-001432,223.724428,-0.242394,-99,-99,0.89,-99,-99,20.45,-99,GG,VY,C,SuGOHI6
145459+015846,223.74648,1.979505,0.375,-99,-99,-99,-99,17.6,21.33,GG,Y,C,SuGOHI2
145506+434550,223.77896,43.764094,0.66,-99,-99,-99,-99,20.01,23.44,GG,Y,C,SuGOHI2
145508+430738,223.7856,43.127372,0.598,-99,-99,-99,-99,19.47,21.79,GG,Y,C,SuGOHI2
145519-001734,223.833124,-0.292936,-99,-99,1.18,-99,-99,22.19,-99,GG,VY,C,SuGOHI6
145555-013858,223.982638,-1.649526,-99,-99,0.77,-99,-99,21.53,-99,GG,VY,C,SuGOHI6
145600-010545,224.00054,-1.095893,-99,-99,0.6,-99,-99,19.75,-99,GG,VY,C,SuGOHI6
145607+000908,224.031262,0.152231,0.516,-99,-99,-99,-99,18.69,22.14,GG,Y,C,SuGOHI1
145612+011941,224.05141,1.328216,0.555,-99,-99,-99,-99,-99,-99,GG,C,C,SuGOHI1
145625-012913,224.104808,-1.486999,-99,-99,0.93,-99,-99,21.58,-99,GG,VY,C,SuGOHI6
145627-012220,224.112588,-1.37243,-99,-99,0.85,-99,-99,21.2,-99,GG,VY,C,SuGOHI6
145657+005048,224.241172,0.846823,-99,-99,0.69,-99,-99,19.57,-99,GG,VY,C,SuGOHI6
145704+435733,224.2681,43.9593,0.679,-99,0.66,1.22,-99,19.86,23.06,CG,V,C,SuGOHI5
145732-015917,224.38573,-1.988155,0.526,-99,-99,-99,-99,19.05,21.8,GG,YC,B,SuGOHI1
145735+441213,224.3965,44.203718,0.288,-99,-99,-99,-99,18.1,21.99,GG,Y,C,SuGOHI2
145759+423019,224.49664,42.505285,0.607,-99,-99,-99,-99,19.49,22.31,GG,Y,B,SuGOHI2
145811-005601,224.547697,-0.933739,-99,-99,0.37,-99,-99,18.71,-99,GG,V,C,SuGOHI6
145830+000611,224.625493,0.103091,0.377,-99,-99,-99,-99,17.63,21.15,GG,Y,C,SuGOHI1
145831+435032,224.6325,43.8424,0.327,-99,0.31,0.95,-99,17.26,21.04,CG,V,C,SuGOHI5
145836-002400,224.651197,-0.400214,0.595,-99,-99,-99,-99,19.09,21.07,CG,YV,B,SuGOHI1 SuGOHI5
145902-012351,224.76135,-1.397548,0.482,-99,-99,-99,-99,18.59,22.59,GG,Y,B,SuGOHI1
145914-000444,224.811323,-0.078965,0.567,-99,-99,-99,-99,19.73,23.2,GG,Y,C,SuGOHI1
145922+011912,224.841791,1.320196,0.703,-99,-99,-99,-99,19,24.21,GG,YV,C,SuGOHI1 SuGOHI6
145930+441048,224.8789,44.1801,0.323,-99,0.32,-99,-99,17.69,19.37,CG,V,B,SuGOHI5
145932+001908,224.885071,0.319021,-99,-99,0.49,-99,-99,19.44,-99,GG,V,C,SuGOHI6
145957-005522,224.988,-0.923,0.939,-99,0.6,0.81,-99,19.3,21.16,CG,V,B,SuGOHI5
150017-005939,225.074644,-0.994229,-99,-99,0.87,-99,-99,20.13,-99,GG,V,C,SuGOHI6
150021-004936,225.087602,-0.826888,-99,-99,0.41,-99,-99,18.45,-99,GG,V,A,SuGOHI6
150029+015119,225.12291,1.85545,0.529,-99,-99,-99,-99,18.94,22.55,GG,Y,C,SuGOHI2
150112+422113,225.3007,42.3537,-99,-99,0.27,-99,-99,19.13,-99,GG,V,A,SuGOHI5
150209-003111,225.538304,-0.519915,-99,-99,0.42,-99,-99,18.78,-99,GG,VY,C,SuGOHI6
150239-001914,225.664582,-0.32057,-99,-99,0.31,-99,-99,17.63,-99,GG,VY,C,SuGOHI6
150314+001017,225.811237,0.171429,-99,-99,0.44,-99,-99,19.07,-99,GG,V,C,SuGOHI6
